speaker id,rating ave,Business,Entertainment,Politics,Sport,Tech,Healthcare,Academic,Media & News
speaker_44,3.622950819672131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speaker_27,3.8545454545454554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speaker_39,4.108108108108108,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_41,3.6226415094339615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speaker_26,3.702702702702703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speaker_78,4.101190476190476,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
speaker_144,3.829545454545455,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
speaker_151,3.5531914893617023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
speaker_166,3.728260869565217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_159,3.73469387755102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_9,4.0125,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
speaker_165,3.806122448979592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_164,3.674418604651162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_180,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_21,3.7327586206896552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
speaker_66,3.9069767441860463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
speaker_98,4.117647058823529,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
speaker_39,4.108108108108108,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_175,4.109756097560975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_176,3.737704918032787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_84,4.044303797468355,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
speaker_168,4.076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
speaker_160,3.872549019607843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
