Business,Entertainment,Politics,Sport,Tech,Healthcare,Academic,Media & News
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
4.4,0.0,0.0,3.0,0.0,2.25,3.75,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
0.0,3.0,3.75,2.0,0.0,2.0,3.9166666666666665,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
5.0,2.5,0.0,3.75,2.5,0.0,4.166666666666667,0.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,0.0,0.0,2.5,0.0,4.5,2.5,3.0
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,2.0,0.0,0.0,4.2,2.5,0.0,2.5
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
0.0,4.3,4.5,0.0,2.833333333333333,0.0,4.1875,4.3
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,0.0,2.25,4.0,4.875,0.0,4.0,2.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
4.428571428571429,4.0,0.0,0.0,4.25,2.5,2.5,5.0
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
2.75,0.0,0.0,2.5,4.0,0.0,0.0,4.25
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
4.0,0.0,2.5,2.0,0.0,3.0,0.0,0.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
0.0,4.0,3.0,3.928571428571429,4.0,4.3125,3.9,4.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
2.5,3.7,0.0,0.0,0.0,3.0,2.5,3.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
0.0,4.5,2.75,0.0,0.0,3.0,3.0,4.0
